韻攝,平,上,去,入
通,東,董,送,屋
通,冬,湩,宋,沃
通,鍾,腫,用,燭
江,江,講,絳,覺
止,支,紙,寘,
止,支A,紙A,寘A,
止,支B,紙B,寘B,
止,脂,旨,至,
止,脂A,旨A,至A,
止,脂B,旨B,至B,
止,之,止,志,
止,微,尾,未,
遇,魚,語,御,
遇,虞,麌,遇,
遇,模,姥,暮,
蟹,齊,薺,霽,
蟹,,,祭,
蟹,,,祭A,
蟹,,,祭B,
蟹,,,泰,
蟹,佳,蟹,卦,
蟹,皆,駭,怪,
蟹,,,夬,
蟹,灰,賄,隊,
蟹,咍,海,代,
蟹,,,廢,
臻,眞,軫,震,質
臻,眞A,軫A,震A,質A
臻,眞B,軫B,震B,質B
臻,諄,準,稕,術
臻,諄A,準A,稕A,術A
臻,臻,𧤛,櫬,櫛
臻,文,吻,問,物
臻,欣,隱,焮,迄
臻,元,阮,願,月
臻,魂,混,慁,沒
臻,痕,很,恨,麧
山,寒,旱,翰,曷
山,桓,緩,換,末
山,刪,潸,諫,黠
山,山,產,襇,鎋
山,先,銑,霰,屑
山,仙,獮,線,薛
山,仙A,獮A,線A,薛A
山,仙B,獮B,線B,薛B
效,蕭,篠,嘯,
效,宵,小,笑,
效,宵A,小A,笑A,
效,宵B,小B,笑B,
效,肴,巧,效,
效,豪,晧,号,
果,歌,哿,箇,
果,戈,果,過,
假,麻,馬,禡,
宕,陽,養,漾,藥
宕,唐,蕩,宕,鐸
梗,庚,梗,映,陌
梗,耕,耿,諍,麥
梗,清,靜,勁,昔
梗,清A,靜A,勁A,昔A
梗,青,迥,徑,錫
曾,蒸,拯,證,職
曾,登,等,嶝,德
流,尤,有,宥,
流,侯,厚,候,
流,幽,黝,幼,
深,侵,寑,沁,緝
深,侵A,寑A,沁A,緝A
深,侵B,寑B,沁B,緝B
咸,覃,感,勘,合
咸,談,敢,闞,盍
咸,鹽,琰,豔,葉
咸,鹽A,琰A,豔A,葉A
咸,鹽B,琰B,豔B,葉B
咸,添,忝,㮇,怗
咸,咸,豏,陷,洽
咸,銜,檻,鑑,狎
咸,嚴,儼,釅,業
咸,凡,梵,范,乏
